"ID","Name","LongName","Parent","Component","AD","CC","CCL","CCO","CI","CLC","CLLC","CLOC","LDC","LLDC","LLOC","LOC","NCL","NEN","NG","NIN","NM","NPKG","NPM","NS","PDA","PUA","TAD","TCLOC","TLLOC","TLOC","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","TPDA","TPUA","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Best Practice Rules","Code Style Rules","Design Rules","Documentation Rules","Error Prone Rules","Multithreading Rules","Performance Rules","Security Rules"
"L2363","core","androidx.core","L104","L103","0","0","0","0","0","0","0","6","0","0","165","184","11","0","0","0","11","0","0","0","0","11","0","6","165","184","11","13","0","1","0","0","11","0","11","0","0","0","0","0","0","11","0","0","11","0","134","0","0","134","0","0","0","0","0","0"
"L2519","cursoradapter","androidx.cursoradapter","L104","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","0","0","0","0","1","0","6","4","13","1","13","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L2524","customview","androidx.customview","L104","L103","0","0","0","0","0","0","0","6","0","0","165","184","11","0","0","0","11","0","0","0","0","11","0","6","165","184","11","13","0","1","0","0","11","0","11","0","0","0","0","0","0","11","0","0","11","0","134","0","0","134","0","0","0","0","0","0"
"L2680","documentfile","androidx.documentfile","L104","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","0","0","0","0","1","0","6","4","13","1","13","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L2685","drawerlayout","androidx.drawerlayout","L104","L103","0","0","0","0","0","0","0","6","0","0","165","184","11","0","0","0","11","0","0","0","0","11","0","6","165","184","11","13","0","1","0","0","11","0","11","0","0","0","0","0","0","11","0","0","11","0","134","0","0","134","0","0","0","0","0","0"
"L2841","exifinterface","androidx.exifinterface","L104","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","0","0","0","0","1","0","6","4","13","1","13","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L2846","fragment","androidx.fragment","L104","L103","0","0","0","0","0","0","0","6","0","0","193","212","11","0","0","0","11","0","0","0","0","11","0","6","193","212","11","13","0","1","0","0","11","0","11","0","0","0","0","0","0","11","0","0","11","0","162","0","0","162","0","0","0","0","0","0"
"L3030","gridlayout","androidx.gridlayout","L104","L103","0","0","0","0","0","0","0","6","0","0","235","254","11","0","0","0","11","0","0","0","0","11","0","6","235","254","11","13","0","1","0","0","11","0","11","0","0","0","0","0","0","11","0","0","11","0","204","0","0","204","0","0","0","0","0","0"
"L3256","interpolator","androidx.interpolator","L104","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","0","0","0","0","1","0","6","4","13","1","13","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L3261","legacy","androidx.legacy","L104","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","18","578","635","33","16","0","3","0","0","33","0","33","0","0","3","0","0","0","33","0","0","33","0","485","0","0","485","0","0","0","0","0","0"
"L3814","lifecycle","androidx.lifecycle","L104","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","5","0","0","0","1","0","42","217","290","17","19","0","7","0","0","17","0","17","0","0","6","0","0","0","17","0","0","17","0","174","0","0","168","0","0","6","0","0","0"
"L4028","loader","androidx.loader","L104","L103","0","0","0","0","0","0","0","6","0","0","165","184","11","0","0","0","11","0","0","0","0","11","0","6","165","184","11","13","0","1","0","0","11","0","11","0","0","0","0","0","0","11","0","0","11","0","134","0","0","134","0","0","0","0","0","0"
"L4184","localbroadcastmanager","androidx.localbroadcastmanager","L104","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","0","0","0","0","1","0","6","4","13","1","13","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L4189","media","androidx.media","L104","L103","0","0","0","0","0","0","0","6","0","0","192","211","11","0","0","0","11","0","0","0","0","11","0","6","192","211","11","13","0","1","0","0","11","0","11","0","0","0","0","0","0","11","0","0","11","0","161","0","0","161","0","0","0","0","0","0"
"L4372","print","androidx.print","L104","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","0","0","0","0","1","0","6","4","13","1","13","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L4377","recyclerview","androidx.recyclerview","L104","L103","0","0","0","0","0","0","0","6","0","0","221","240","11","0","0","0","11","0","0","0","0","11","0","6","221","240","11","13","0","1","0","0","11","0","11","0","0","0","0","0","0","11","0","0","11","0","190","0","0","190","0","0","0","0","0","0"
"L4589","slidingpanelayout","androidx.slidingpanelayout","L104","L103","0","0","0","0","0","0","0","6","0","0","165","184","11","0","0","0","11","0","0","0","0","11","0","6","165","184","11","13","0","1","0","0","11","0","11","0","0","0","0","0","0","11","0","0","11","0","134","0","0","134","0","0","0","0","0","0"
"L4745","swiperefreshlayout","androidx.swiperefreshlayout","L104","L103","0","0","0","0","0","0","0","6","0","0","165","184","11","0","0","0","11","0","0","0","0","11","0","6","165","184","11","13","0","1","0","0","11","0","11","0","0","0","0","0","0","11","0","0","11","0","134","0","0","134","0","0","0","0","0","0"
"L4901","transition","androidx.transition","L104","L103","0","0","0","0","0","0","0","6","0","0","175","194","11","0","0","0","11","0","0","0","0","11","0","6","175","194","11","13","0","1","0","0","11","0","11","0","0","0","0","0","0","11","0","0","11","0","144","0","0","144","0","0","0","0","0","0"
"L5067","vectordrawable","androidx.vectordrawable","L104","L103","0","0","0","0","0","0","0","6","0","0","193","212","11","0","0","0","11","0","0","0","0","11","0","6","193","212","11","13","0","1","0","0","11","0","11","0","0","0","0","0","0","11","0","0","11","0","162","0","0","162","0","0","0","0","0","0"
"L5251","versionedparcelable","androidx.versionedparcelable","L104","L103","0","0","0","0","0","0","0","6","0","0","4","13","1","0","0","0","1","0","0","0","0","1","0","6","4","13","1","13","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","2","0","0","1","0","0","1","0","0","0"
"L5256","viewpager","androidx.viewpager","L104","L103","0","0","0","0","0","0","0","6","0","0","165","184","11","0","0","0","11","0","0","0","0","11","0","6","165","184","11","13","0","1","0","0","11","0","11","0","0","0","0","0","0","11","0","0","11","0","134","0","0","134","0","0","0","0","0","0"
"L5413","github","com.github","L5412","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6","26","38","4","15","0","1","0","0","4","0","4","0","0","2","0","0","0","4","0","0","4","0","15","0","0","15","0","0","0","0","0","0"
"L5442","google","com.google","L5412","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","66","3259","3413","66","27","0","11","0","0","66","0","66","0","0","14","0","0","0","66","0","0","69","0","3081","0","0","3076","0","0","5","0","0","0"
